5;0;13;0;*;28;32;0;0;*;*;0;0;*;*;1.jpg
5;0;13;0;27;0;0;0;0;*;*;0;42;*;yes;2.jpg
5;0;15;0;23;0;0;0;0;*;38;40;42;*;yes;2.jpg
5;0;15;0;23;0;0;0;0;*;38;0;0;*;yes;2.jpg
5;0;0;0;25;0;0;0;0;0;*;40;0;no;yes;2.jpg
5;0;0;0;23;0;*;35;0;39;0;0;0;yes;no;3.jpg
2;0;0;17;25;0;0;0;0;39;38;40;0;yes;yes;4.jpg
2;0;0;17;23;0;*;0;0;0;*;*;0;no;*;5.jpg
4;0;0;0;23;28;32;0;0;39;0;0;0;yes;no;6.jpg
0;7;0;19;25;0;0;0;0;*;*;40;0;*;yes;7.jpg
2;0;14;19;25;0;0;0;0;*;*;40;0;*;yes;7.jpg
1;0;0;17;*;*;33;0;37;39;38;0;0;yes;yes;8.jpg
1;0;12;0;27;28;0;0;0;0;0;0;0;no;no;9.jpg
1;0;0;19;25;0;0;0;0;39;0;0;42;yes;yes;10.jpg
*;*;13;22;23;0;0;0;0;*;*;0;0;*;*;11.jpg
3;0;14;19;*;*;33;*;*;39;0;40;*;yes;yes;12.jpg
1;0;0;17;*;*;33;0;37;39;0;0;0;yes;no;13.jpg
5;0;15;0;27;28;0;0;0;*;*;40;0;*;yes;14.jpg
5;0;13;0;23;28;0;0;0;*;*;0;0;*;*;14.jpg
1;0;13;17;23;0;0;0;0;*;*;0;0;*;*;14.jpg
*;*;13;0;27;28;0;0;0;*;*;0;0;*;*;14.jpg
3;0;0;19;23;0;0;0;0;0;0;40;0;no;yes;15.jpg
0;7;0;17;25;0;0;0;0;*;*;0;0;*;*;16.jpg
*;*;13;21;27;0;0;0;0;*;*;*;42;*;yes;16.jpg
1;0;0;*;*;*;0;0;37;0;0;0;0;yes;no;17.jpg
*;*;13;17;27;0;*;0;0;*;*;*;0;*;*;18.jpg
5;0;14;0;23;28;0;0;0;*;0;0;0;*;no;19.jpg
0;7;0;17;24;0;0;0;0;*;*;0;42;*;yes;19.jpg
5;0;15;0;*;*;0;*;*;0;0;0;*;*;*;20.jpg
*;*;13;17;27;0;32;0;37;*;*;0;0;yes;*;21.jpg
5;0;15;0;*;*;0;0;0;39;0;0;0;yes;no;22.jpg
5;0;0;0;27;0;0;0;0;0;0;40;0;no;yes;23.jpg
